Title,Address,Latitude,Longitude,Classification,Planning Area,Region,Region Type,Property Type,AltClass,NUM_STOPS,num_hdb,TOTAL_TAP_OUT_VOLUME,TOTAL_TAP_IN_VOLUME
McDonald's IMM,"2 Jurong East Street 21, #01-18 IMM Building, Singapore 609601",1.3354104,103.7462797,Low,Jurong East,West,OCR,Retail,lower,11,23,645.0,273.0
McDonald's Choa Chu Kang Lot 1,"10 Choa Chu Kang Ave 4, #01-21 MRT Station. Singpaore, Singapore 689810",1.3852487,103.7443487,Medium,Choa Chu Kang,West,OCR,Retail,higher,16,67,269.0,390.0
McDonald's Gek Poh,"762 Jurong West Street 75, #02-250 Gek Poh Shopping Centre, Singapore 640762",1.3489162,103.6976086,Low,Jurong West,West,OCR,,lower,15,79,983.0,1107.0
McDonald's WoodGrove,"30 Woodlands Ave 1, #01-06 The Woodgrove, Singapore 739065",1.4295794,103.7813318,Medium,Woodlands,North,OCR,,higher,11,36,272.0,523.0
McDonald's 888 Plaza,"Blk 888 Woodlands Drive 50, #01-737A, Singapore 730888",1.4377241,103.7952735,Low,Woodlands,North,OCR,HDB,lower,23,124,1017.0,1944.0
McDonald's Woodlands North Plaza,"Blk 883 Woodlands Street 82, #01-468, Singapore 730883",1.442578,103.7911885,Low,Woodlands,North,OCR,HDB,lower,15,99,152.0,628.0
McDonald's Sembawang Shopping Centre,"604 Sembawang Road, Sembawang Shopping Centre, #01-27, Singapore 758459",1.4418355,103.8248907,Medium,Sembawang,North,OCR,Retail,higher,9,8,170.0,367.0
McDonald's Yishun Ring Road,"Blk 293 Yishun Street 22, #01-237, Singapore 760293",1.4360915,103.8377479,Low,Yishun,North,OCR,HDB,lower,14,85,613.0,205.0
McDonald's Blossom Spring,"461 Yishun Ave 6, #01-03 Blossom Spring@Yishun, Singapore 760461",1.4282704,103.8498645,Medium,Yishun,North,OCR,,higher,11,89,2091.0,312.0
McDonald's Canberra,"133 Canberra View, #01-01/02 03/28, Singapore 750133",1.4429738,103.8306379,Medium,Sembawang,North,OCR,,higher,8,40,1463.0,1399.0
McDonald's Limbang,"Block 533 Choa Chu Kang Street 51, #01-10 Limbang Shopping Centre, Singapore 680533",1.3922588,103.7431268,Medium,Choa Chu Kang,West,OCR,,higher,17,94,644.0,144.0
McDonald's LeQuest,"4 Bukit Batok Street 41, #01-42, Singapore 657991",1.3557128,103.7408413,Medium,Bukit Batok,West,OCR,,higher,18,79,541.0,299.0
McDonald's Jurong Green CC,"6A Jurong West Ave 1, Jurong Green CC, Singapore 649520",1.3505115,103.7254572,Medium,Jurong West,West,OCR,,higher,10,76,507.0,695.0
McDonald's Jurong Spring CC,"01 Jurong West Street 52 05, #8 Jurong Spring Community Club, Singapore 649296",1.3483547,103.7183772,Medium,Jurong West,West,OCR,State,higher,20,88,266.0,581.0
McDonald's Pioneer Mall,"638 Jurong West Street 61, #01-01/02 Pioneer Mall, Singapore 640638",1.3415661,103.6969298,Medium,Jurong West,West,OCR,Retail,higher,24,130,273.0,770.0
McDonald's Fairprice Hub,"1 Joo Koon Cir, #01-27/28/29/30/31 FairPrice Hub, Singapore 629117",1.3273406,103.6782616,Medium,Pioneer,West,OCR,,higher,14,0,827.0,1492.0
McDonald's Jurong Central Park,"291 Boon Lay Way, Singapore 649849",1.3391576,103.7086677,High,Jurong West,West,OCR,,higher,13,20,99.0,618.0
McDonald's Jurong Bowl,"1 Yuan Ching Rd, Jurong Family Bowl, Singapore 618640",1.3263056,103.7246177,High,Jurong West,West,OCR,,higher,14,27,197.0,491.0
McDonald's Harbour Front Centre,"01-87, #01-88 and #01-89 1, Maritime Square, Harbourfront Centre, Singapore 099253",1.2642175,103.8203582,High,Bukit Merah,Central,RCR,,higher,5,0,0.0,0.0
McDonald's Vivocity,"1 HarbourFront Walk, B2-40/41/42 VivoCity, Singapore 098585",1.2647989,103.8214814,High,Bukit Merah,Central,RCR,,higher,5,0,524.0,72.0
McDonald's Shell Havelock,"548 Havelock Rd, Singapore 169637",1.2900261,103.8325063,High,Bukit Merah,Central,RCR,,higher,14,49,709.0,956.0
McDonald's Tampines (near CPF Building),"Blk 513 Tampines Central 1, #01-150, Singapore 520513",1.3536087,103.9441485,Medium,Tampines,East,OCR,HDB,higher,17,48,19.0,0.0
McDonald’s Admiralty Place,"678A Woodlands Ave 6, #01-05, Singapore 731678",1.4402264,103.8010912,Medium,Woodlands,North,OCR,,higher,20,135,3158.0,2674.0
