blk_no,street,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,bldg_contract_town,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold,1room_rental,2room_rental,3room_rental,other_room_rental,address,latitude,longitude,polygon
10E,BEDOK STH AVE 2,21,1992,Y,N,N,N,N,N,BD,81,0,0,0,0,0,81,0,0,0,0,0,0,10E BEDOK STH AVE 2,1.3216200934601,103.937040959341,BEDOK SOUTH
10F,BEDOK STH AVE 2,24,1992,Y,N,N,N,N,N,BD,67,0,0,0,0,0,67,0,0,0,0,0,0,10F BEDOK STH AVE 2,1.32221773472774,103.937001345916,BEDOK SOUTH
100,ALJUNIED CRES,12,1977,Y,N,N,Y,N,N,GL,198,0,0,0,0,0,0,0,0,198,0,0,0,100 ALJUNIED CRES,1.32096619913268,103.884167439456,ALJUNIED
100,BEDOK NTH AVE 4,14,1978,Y,N,N,N,N,N,BD,206,0,0,178,26,1,1,0,0,0,0,0,0,100 BEDOK NTH AVE 4,1.3343559340081,103.939032711241,BEDOK NORTH
100,C'WEALTH CRES,10,1964,Y,N,N,N,N,N,QT,75,0,9,61,5,0,0,0,0,0,0,0,0,100 C'WEALTH CRES,1.30770527644458,103.801272476263,COMMONWEALTH
100,LOR 1 TOA PAYOH,16,1968,Y,N,N,N,N,N,TP,192,0,0,192,0,0,0,0,0,0,0,0,0,100 LOR 1 TOA PAYOH,1.33956400517882,103.848585713817,BRADDELL
100,WHAMPOA DR,25,1973,Y,N,N,N,N,N,KWN,96,0,0,0,96,0,0,0,0,0,0,0,0,100 WHAMPOA DR,1.32077947735201,103.854348739922,BALESTIER
101,AH HOOD RD,25,1981,Y,N,N,N,N,N,KWN,96,0,0,0,0,96,0,0,0,0,0,0,0,101 AH HOOD RD,1.32739678972464,103.84448102202,BALESTIER
101,ALJUNIED CRES,12,1977,Y,Y,N,N,N,N,GL,152,0,0,126,22,1,1,0,0,0,0,2,0,101 ALJUNIED CRES,1.32092275330579,103.883351967045,ALJUNIED
101,ANG MO KIO AVE 3,12,1977,Y,N,N,N,N,N,AMK,88,0,0,0,12,76,0,0,0,0,0,0,0,101 ANG MO KIO AVE 3,1.37026158388486,103.839467898898,KEBUN BAHRU
101,BEDOK RESERVOIR RD,12,1985,Y,N,N,N,N,N,BD,110,0,0,0,16,94,0,0,0,0,0,0,0,101 BEDOK RESERVOIR RD,1.32844913301985,103.909937396599,KAKI BUKIT
101,BEDOK NTH AVE 4,13,1977,Y,N,N,Y,N,N,BD,168,0,35,0,0,0,0,0,0,0,133,0,0,101 BEDOK NTH AVE 4,1.334484667124,103.937924710969,BEDOK NORTH
101,BIDADARI PK DR,2,2019,N,N,N,Y,Y,Y,TP,0,0,0,0,0,0,0,0,0,0,0,0,0,101 BIDADARI PK DR,1.33623671562033,103.871287596113,SENNETT
101,BISHAN ST 12,25,1986,Y,N,N,N,N,N,BH,92,0,0,0,0,84,8,0,0,0,0,0,0,101 BISHAN ST 12,1.34485915828152,103.848400765185,BISHAN EAST
101,BT BATOK WEST AVE 6,13,1984,Y,N,N,N,N,N,BB,96,0,0,2,46,48,0,0,0,0,0,0,0,101 BT BATOK WEST AVE 6,1.34670636093149,103.746920663038,BUKIT BATOK CENTRAL
101,BT PURMEI RD,11,1982,Y,N,N,N,N,N,BM,140,0,0,89,50,0,0,0,0,0,0,1,0,101 BT PURMEI RD,1.27146256556443,103.825683545567,TELOK BLANGAH RISE
101,C'WEALTH CRES,10,1964,Y,N,N,N,N,N,QT,76,0,10,62,4,0,0,0,0,0,0,0,0,101 C'WEALTH CRES,1.30805159231327,103.800842814413,COMMONWEALTH
101,CANBERRA ST,1,2019,N,N,N,Y,N,N,SB,0,0,0,0,0,0,0,0,0,0,0,0,0,101 CANBERRA ST,1.45139998591606,103.830859953414,SEMBAWANG EAST
101,CLEMENTI ST 14,15,1984,Y,N,N,N,N,N,CL,112,0,0,0,18,94,0,0,0,0,0,0,0,101 CLEMENTI ST 14,1.32208936757694,103.76893341249,SUNSET WAY
101,GANGSA RD,13,1986,Y,N,N,N,N,N,BP,60,0,0,0,0,0,60,0,0,0,0,0,0,101 GANGSA RD,1.37916431633637,103.767439286222,JELEBU
101,HENDERSON CRES,12,1967,Y,N,N,N,N,N,BM,96,0,0,0,96,0,0,0,0,0,0,0,0,101 HENDERSON CRES,1.29071799751539,103.821625207737,HENDERSON HILL
101,HOUGANG AVE 1,9,1983,Y,N,N,Y,N,N,HG,108,0,0,0,108,0,0,0,0,0,0,0,0,101 HOUGANG AVE 1,1.35493747800562,103.891360573947,LORONG AH SOO
101,JLN RAJAH,17,1980,Y,N,N,Y,N,N,KWN,128,0,0,0,128,0,0,0,0,0,0,0,0,101 JLN RAJAH,1.32871478392959,103.850545321033,BALESTIER
101,JURONG EAST ST 13,16,1982,Y,N,N,Y,N,N,JE,238,0,0,196,40,2,0,0,0,0,0,0,0,101 JURONG EAST ST 13,1.33701100762294,103.738787314099,YUHUA EAST
101,LENGKONG TIGA,4,1988,Y,N,N,N,N,N,BD,10,0,0,0,0,0,10,0,0,0,0,0,0,101 LENGKONG TIGA,1.32515983382087,103.910888819332,KEMBANGAN
101,PASIR RIS ST 12,13,1988,Y,N,N,N,N,N,PRC,96,0,0,0,0,0,96,0,0,0,0,0,0,101 PASIR RIS ST 12,1.36705021516612,103.958181857039,PASIR RIS DRIVE
101,POTONG PASIR AVE 1,16,1984,Y,N,N,N,N,N,TP,120,0,0,120,0,0,0,0,0,0,0,0,0,101 POTONG PASIR AVE 1,1.33315710123237,103.868380398922,POTONG PASIR
